state,q_values
"('X', 'X', 'O', 'O', 'O', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', 'O', ' ', 'O', ' ', ' ', ' ')","[10.          0.          0.          0.          9.5         0.
  9.49476838 -6.22484     2.79748386]"
"('X', 'X', 'X', 'O', ' ', 'O', ' ', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'X', 'O', 'X', ' ', ' ', ' ')","[-9.22000001  3.57706368  0.          0.          0.          0.
  1.89998886 -9.61233286 -7.99735075]"
"(' ', 'X', 'O', 'X', 'O', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'X', 'O', ' ', ' ', 'O', 'X')","[-6.43188671  9.0075666   1.73249776  0.          0.         -6.43194773
  6.21919164  0.          0.        ]"
"(' ', 'X', 'O', 'X', 'O', ' ', ' ', 'O', 'X')","[-9.34600006  0.          0.          0.          0.         -9.99999488
  5.51735641  0.          0.        ]"
"('O', ' ', 'X', 'X', ' ', 'O', ' ', 'O', 'X')","[0.         4.75       0.         0.         4.75127439 0.
 9.31754163 0.         0.        ]"
"('O', 'X', 'X', 'X', ' ', 'O', 'O', 'O', 'X')",[0. 0. 0. 0. 5. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', 'X', ' ', 'X', ' ', 'O')","[ 9.5        0.        10.         9.5        0.         9.5
  0.         9.1935481  0.       ]"
"(' ', 'O', ' ', 'O', 'X', ' ', 'X', 'X', 'O')","[ 9.34648047  0.         10.          0.          0.          9.49391961
  0.          0.          0.        ]"
"(' ', ' ', 'X', 'X', ' ', ' ', 'O', 'O', ' ')","[-1.87188672  5.51931288  0.          0.          8.27414902 -9.84420001
  0.          0.          9.49999995]"
"(' ', ' ', 'X', 'X', 'O', 'X', 'O', 'O', ' ')","[-9.999872   -9.36996789  0.          0.          0.          0.
  0.          0.         10.        ]"
"('X', 'O', 'X', 'X', 'O', 'X', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', 'O', ' ', ' ', ' ', ' ', 'O')","[10.          0.          0.          0.          9.5         9.49999918
  9.5         9.5         0.        ]"
"(' ', 'X', 'X', 'O', ' ', 'O', ' ', 'X', 'O')","[ 9.99999996  0.          0.          0.         10.          0.
  9.35023514  0.          0.        ]"
"('O', 'X', 'X', 'O', ' ', 'O', 'X', 'X', 'O')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('O', 'X', 'X', 'O', 'X', 'O', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', ' ', ' ', 'X', ' ', 'O', ' ')","[ 9.43816166  0.          0.         -6.22580639  9.5         0.
  8.84504122  0.         10.        ]"
"(' ', 'O', 'X', 'X', 'O', 'X', ' ', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'X', ' ', ' ', ' ', ' ', ' ', 'O')","[0.         0.         0.         1.36768334 9.5        4.80602018
 9.47000006 9.47484032 0.        ]"
"('O', 'X', 'X', ' ', ' ', 'O', 'X', ' ', 'O')","[ 0.          0.          0.          9.369984   10.          0.
  0.          8.85103946  0.        ]"
"('O', ' ', 'X', 'X', 'O', ' ', ' ', ' ', ' ')","[ 0.          2.70418692  0.          0.          0.         -9.22499201
  1.48168083  5.80419575  9.42431956]"
"('O', ' ', 'X', 'X', 'O', ' ', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', ' ', ' ', 'O', ' ', ' ', 'X')","[8.27118709 0.         0.         8.85370664 9.5        0.
 9.5        9.39516613 0.        ]"
"('O', 'O', 'X', ' ', ' ', 'O', 'X', ' ', 'X')",[ 0.   0.   0.   9.5 10.   0.   0.  10.   0. ]
"('O', 'O', 'X', ' ', 'X', 'O', 'X', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', 'X', ' ', ' ', 'O', ' ', ' ')","[ 0.         -0.01045841  0.          0.          9.5         9.37519993
  0.         -8.27706505  9.49999834]"
"('X', ' ', 'O', 'X', 'O', ' ', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'X', ' ', ' ', ' ', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', 'X', ' ', 'O', 'X', ' ', 'X')","[10.          0.          0.          0.          9.37400032  0.
  0.         10.          0.        ]"
"('X', 'O', ' ', ' ', 'O', ' ', ' ', ' ', 'X')","[ 0.          0.         -0.4924899  -9.28347221  0.          1.89998937
 -6.10020128  8.80870788  0.        ]"
"('X', 'O', ' ', 'O', 'O', ' ', ' ', 'X', 'X')","[ 0.          0.          6.25519002  0.          0.          9.5
 10.          0.          0.        ]"
"('X', 'O', 'X', 'O', 'O', ' ', 'O', 'X', 'X')",[ 0.  0.  0.  0.  0. 10.  0.  0.  0.]
"('O', 'X', 'O', 'O', 'X', 'X', ' ', ' ', ' ')","[ 0.          0.          0.          0.          0.          0.
  9.31146115 10.         -9.99603642]"
"('O', 'X', 'O', 'O', 'X', 'X', ' ', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'O', 'X', 'X', 'O', ' ', 'X')","[10.          0.         10.          0.          0.          0.
  0.          6.34884826  0.        ]"
"('X', 'O', ' ', 'O', 'X', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', ' ', 'X', 'O', 'O', 'X', 'O')","[ 0.         10.          4.90326698 -7.14911976  0.          0.
  0.          0.          0.        ]"
"('X', 'X', ' ', ' ', 'X', 'O', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', ' ', 'O', ' ', 'O', ' ', ' ')","[ 0.         10.          0.          9.46806979  0.          9.5
  0.          9.47078383  9.5       ]"
"('X', 'O', 'X', 'O', ' ', 'O', 'X', ' ', ' ')","[ 0.          0.          0.          0.         10.          0.
  0.          8.87476192 -6.75515808]"
"('X', 'O', 'X', 'O', ' ', 'O', 'X', 'O', 'X')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('X', 'O', 'X', 'O', 'X', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'X', ' ', ' ', ' ', 'O', ' ', ' ')","[0.         0.         0.         5.65391195 8.70071298 5.3120959
 0.         5.81792414 9.5       ]"
"('X', 'O', 'X', 'X', 'O', ' ', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 5. 0. 0. 0.]
"('X', 'O', 'X', 'X', 'O', 'X', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', 'O', ' ', ' ', ' ', ' ', 'X')",[ 9.5  0.   0.   0.   9.5 10.   9.5  9.5  0. ]
"('X', 'O', 'X', 'O', ' ', ' ', ' ', 'O', 'X')","[ 0.          0.          0.          0.         10.          9.99999898
 -9.84404026  0.          0.        ]"
"('X', 'O', 'X', 'O', 'X', ' ', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', ' ', ' ', 'O', 'X', 'O', ' ')",[ 0.   9.5  9.5 10.   9.5  0.   0.   0.   9.5]
"('X', ' ', ' ', 'X', ' ', 'O', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', 'O', ' ', 'O', ' ', 'X', 'O')","[ 0.         10.          0.          0.          9.5         0.
 -6.12496486  0.          0.        ]"
"('X', 'O', 'X', 'O', 'X', 'O', ' ', 'X', 'O')",[ 0.  0.  0.  0.  0.  0. 10.  0.  0.]
"(' ', 'O', 'O', 'X', ' ', ' ', ' ', 'X', ' ')","[9.10419181 0.         0.         0.         6.         8.869888
 6.229632   0.         8.92367841]"
"('X', 'O', 'O', 'X', ' ', 'O', ' ', 'X', ' ')","[ 0.          0.          0.          0.         -9.22623898  0.
 10.          0.          9.5       ]"
"('X', 'O', 'O', 'X', ' ', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', 'X', 'O', 'O', ' ', 'X', ' ')","[  0.         -10.           0.           0.           0.
   0.          10.           0.           5.75499169]"
"('X', ' ', 'O', 'X', 'O', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', ' ', 'X', 'O', ' ', 'X', ' ')","[-6.724008   10.          0.          3.27611242  0.          0.
  9.4999984   0.          9.5       ]"
"(' ', 'X', 'O', ' ', 'X', 'O', ' ', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', ' ', ' ', ' ', 'O', ' ', ' ')","[ 0.          0.          0.          5.22783683  9.5        -9.54521878
  0.         -9.84400837  9.370208  ]"
"('X', 'X', 'O', 'X', 'O', ' ', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', 'X', 'O', ' ', ' ', 'O', ' ')","[9.5        0.         9.49238437 0.         0.         0.04113937
 5.35034688 0.         9.02473013]"
"(' ', 'O', 'X', 'X', ' ', 'X', 'O', 'O', ' ')","[-9.9999744  0.         0.         0.         9.9968     0.
  0.         0.        10.       ]"
"('X', 'O', 'X', 'X', ' ', 'X', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', ' ', 'X', 'O', ' ', ' ', ' ')","[ 0.          0.          9.5         8.82328504  0.          0.
  9.5        10.          9.49606634]"
"('O', ' ', ' ', ' ', ' ', 'O', 'X', ' ', 'X')","[ 0.          8.34879656  9.5         9.2741775   9.5         0.
  0.         10.          0.        ]"
"('O', 'X', ' ', ' ', 'O', 'O', 'X', ' ', 'X')","[ 0.          0.          2.38531142  9.3112161   0.          0.
  0.         10.          0.        ]"
"('O', 'X', 'X', ' ', 'O', 'O', 'X', 'O', 'X')",[0. 0. 0. 5. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', ' ', 'O', 'O', ' ', ' ', ' ')","[ 0.          0.         10.          9.5         0.          0.
  6.37999834  1.1506727   0.04840025]"
"('X', ' ', ' ', 'O', ' ', ' ', 'O', ' ', 'X')","[ 0.         9.5        9.5        0.        10.         9.5
  0.         6.2585985  0.       ]"
"('X', 'X', ' ', 'O', 'O', ' ', 'O', ' ', 'X')","[ 0.          0.         10.          0.          0.         -6.25599021
  0.         -9.99999999  0.        ]"
"('X', 'X', 'O', 'O', 'O', ' ', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', ' ', ' ', ' ', ' ', 'X', 'X')","[ 9.5         0.          0.          8.81415744  9.49900158  9.45685176
 10.          0.          0.        ]"
"(' ', 'O', 'O', ' ', 'X', ' ', 'O', 'X', 'X')","[10.          0.          0.         -9.34500136  0.         -9.84503835
  0.          0.          0.        ]"
"(' ', 'O', 'O', 'X', 'X', 'O', 'O', 'X', 'X')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'O', 'O', 'X', 'X', 'O', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', 'O', ' ', ' ', ' ', ' ', 'O')","[ 0.          0.         10.          0.          9.5         9.34398427
  8.69561598  9.5         0.        ]"
"(' ', ' ', 'X', 'O', 'O', ' ', ' ', ' ', 'X')","[ 9.47499973  9.3751904   0.          0.          0.         10.
  8.84504793  9.47503201  0.        ]"
"(' ', ' ', 'X', 'O', 'O', 'X', ' ', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', ' ', 'X', ' ', ' ', 'O', ' ')","[ 0.          9.28799736  0.          9.5         0.          9.5
 10.          0.          9.5       ]"
"('O', 'X', 'X', 'O', 'X', ' ', ' ', 'O', ' ')","[ 0.          0.          0.          0.          0.          6.2491648
 10.          0.         -9.37079867]"
"('O', 'X', 'X', 'O', 'X', ' ', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'X', 'O', 'X', 'X', 'O', 'X')",[0. 5. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'X', 'O', ' ', ' ', ' ', 'O')","[ 9.5        -6.8497984   0.          0.          0.          1.00375365
  9.499992    5.38143623  0.        ]"
"(' ', ' ', 'X', 'X', 'O', 'X', ' ', 'O', 'O')",[-10. -10.   0.   0.   0.   0. -10.   0.   0.]
"('O', 'X', 'X', 'X', 'O', 'X', ' ', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'X', 'X', ' ', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', 'O', ' ', ' ', ' ', 'X', ' ')","[8.90905927 0.         0.         0.         9.49993649 9.49378572
 9.5        0.         9.4998784 ]"
"(' ', 'O', 'X', 'O', ' ', 'O', 'X', 'X', ' ')","[-6.85380191  0.          0.          0.          9.99999996  0.
  0.          0.         10.        ]"
"(' ', 'O', 'X', 'O', ' ', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'O', ' ', ' ', 'X', 'O', ' ')",[ 9.5  9.5  0.   0.  10.   9.5  0.   0.   9.5]
"('X', ' ', 'X', 'O', 'O', ' ', 'X', 'O', ' ')","[  0.         10.          0.          0.          0.         -9.2212064
   0.          0.        -10.       ]"
"('X', ' ', 'X', 'O', 'O', 'X', 'X', 'O', 'O')",[ 0. 10.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'X', 'X', 'O', 'X', ' ', ' ')","[  0.          -9.99543255   0.           0.           0.
   0.           0.         -10.           2.29088725]"
"('X', 'O', ' ', 'X', 'O', ' ', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', 'O', ' ', 'X', ' ', 'X', 'O')","[4.71199998 0.         0.         0.         4.75122574 0.
 4.90837425 0.         0.        ]"
"('O', 'O', 'X', 'O', ' ', 'X', 'X', 'X', 'O')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('X', ' ', 'X', 'O', ' ', ' ', ' ', 'O', ' ')",[ 0.  10.   0.   0.   9.5  9.5  9.5  0.   9.5]
"('X', 'X', 'X', 'O', ' ', ' ', ' ', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', 'O', ' ', 'X', ' ', 'O', ' ')","[0.         0.         0.         0.         5.66351805 0.
 4.74239027 0.         4.40795136]"
"(' ', 'X', 'O', 'X', 'O', 'O', ' ', ' ', 'X')","[5.60004157 0.         0.         0.         0.         0.
 9.5        5.62519969 0.        ]"
"('O', 'X', 'O', 'X', 'O', 'O', 'X', ' ', 'X')",[ 0.  0.  0.  0.  0.  0.  0. 10.  0.]
"('X', 'X', ' ', ' ', ' ', 'O', 'O', ' ', ' ')","[ 0.          0.         10.          7.96780454  9.5         0.
  0.          9.5         9.5       ]"
"('X', 'X', 'X', ' ', ' ', 'O', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', 'X', ' ', ' ', ' ', 'O', ' ')","[ 0.          0.          8.70044494  0.          9.5         5.75595974
 10.          0.         -6.10600037]"
"('X', 'O', 'O', 'X', ' ', ' ', ' ', 'O', 'X')","[ 0.       0.       0.       0.      10.       8.72064  9.99936  0.
  0.     ]"
"('X', 'O', 'O', 'X', ' ', 'X', 'O', 'O', 'X')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('X', 'O', 'O', 'X', 'X', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'X', ' ', 'O', 'X', 'O', ' ')","[10.          6.07230144  9.5         0.          9.5         0.
  0.          0.          8.37160961]"
"('O', ' ', 'X', ' ', 'X', ' ', 'O', ' ', ' ')","[ 0.          1.89644021  0.          8.54412124  0.         -9.2249936
  0.         -6.10497381 -9.87401725]"
"('O', ' ', 'X', ' ', 'X', ' ', 'O', 'O', 'X')","[ 0.          4.63668833  0.          9.49969795  0.         10.
  0.          0.          0.        ]"
"('O', 'X', 'X', ' ', 'X', 'O', 'O', 'O', 'X')",[0. 0. 0. 5. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', ' ', 'O', ' ', ' ', 'X')","[ 0.          9.49980032  9.350232    0.         10.          0.
  9.49395976  9.49496006  0.        ]"
"('X', 'X', ' ', 'O', 'O', 'O', ' ', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', 'X', 'O', 'X', 'O', 'X')",[10.   0.  10.   9.5  0.   0.   0.   0.   0. ]
"(' ', 'O', 'X', ' ', 'X', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'X', ' ', 'O', 'O', ' ', 'X')","[0.         0.         4.74969592 0.         8.73872329 0.
 0.         4.75029233 0.        ]"
"('O', 'X', 'O', 'X', ' ', 'O', 'O', 'X', 'X')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"(' ', ' ', 'X', ' ', ' ', ' ', 'O', 'O', 'X')","[ 9.5        9.5        0.         9.4087951  9.5       10.
  0.         0.         0.       ]"
"(' ', 'X', 'X', 'O', ' ', ' ', 'O', 'O', 'X')","[10.        0.        0.        0.        8.751152  9.99936   0.
  0.        0.      ]"
"('O', 'X', 'X', 'O', 'X', ' ', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', ' ', 'X', ' ', 'O', 'X', ' ')","[ 0.         10.          5.73102942  9.5         0.          6.37995847
  0.          0.          4.9125484 ]"
"('O', ' ', 'O', ' ', 'X', ' ', 'O', 'X', 'X')","[  0.         10.          0.         -9.2261984   0.        -10.
   0.          0.          0.       ]"
"('X', 'O', ' ', 'X', ' ', ' ', ' ', ' ', 'O')","[ 0.          0.          9.49356493  0.          9.5         9.5
 10.          9.46140049  0.        ]"
"(' ', 'O', ' ', 'O', ' ', ' ', 'X', ' ', 'X')",[ 9.5  0.   9.5  0.   9.5  9.5  0.  10.   0. ]
"('X', 'O', ' ', 'O', ' ', 'O', 'X', ' ', 'X')","[ 0.          0.          9.34520006  0.         10.          0.
  0.         10.          0.        ]"
"(' ', 'X', ' ', 'O', ' ', 'X', ' ', ' ', 'O')","[5.36161774 0.         1.89999532 0.         8.67180884 0.
 9.02493217 4.96710571 0.        ]"
"('O', 'X', 'X', 'O', 'O', 'X', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', 'O', ' ', 'X', 'X', ' ')","[  0.           0.          -6.13119193   0.           0.
 -10.           0.           0.          10.        ]"
"('O', 'O', 'O', 'X', 'O', 'X', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', ' ', 'O', ' ', ' ', 'O', ' ')","[10.          0.          0.          9.47121776  0.          9.5
  5.63042574  0.          9.5       ]"
"('X', 'X', 'X', ' ', 'O', 'X', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'O', ' ', 'X', ' ', 'O', 'X')","[ 9.5         5.65412997 10.          0.          9.5         0.
  9.30094969  0.          0.        ]"
"(' ', ' ', 'X', 'O', ' ', 'X', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', ' ', 'X', ' ', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'O', ' ', 'X', 'X', ' ', ' ')","[8.89773844 0.         9.5        0.         8.3587984  0.
 0.         9.39974392 9.49999976]"
"('O', 'O', 'X', 'O', ' ', 'X', 'X', ' ', ' ')","[ 0.          0.          0.          0.         10.          0.
  0.          9.49999996 10.        ]"
"(' ', 'X', 'O', ' ', ' ', ' ', 'X', ' ', 'O')","[ 2.26000672  0.          0.         -6.7510333  -6.81009246  9.01795495
  0.         -8.39628475  0.        ]"
"(' ', 'X', 'O', ' ', 'X', ' ', 'X', 'O', 'O')","[-7.16404154  0.          0.         -9.37476031  0.          8.58191025
  0.          0.          0.        ]"
"('X', 'X', 'O', 'O', 'X', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 5. 0. 0. 0.]
"('X', ' ', ' ', ' ', 'X', 'O', ' ', 'O', ' ')",[ 0.   9.5  9.5  9.5  0.   0.   9.5  0.  10. ]
"('X', ' ', ' ', 'X', 'X', 'O', 'O', 'O', ' ')","[ 0.          6.37400001 -9.250952    0.          0.          0.
  0.          0.         10.        ]"
"('X', ' ', ' ', 'X', 'X', 'O', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'X', 'X', ' ', ' ', ' ', ' ', ' ')","[0.         0.         0.         0.         9.5        9.5
 9.49977319 9.02499996 9.48349431]"
"('O', 'O', 'X', 'X', ' ', ' ', 'O', 'X', ' ')","[0.         0.         0.         0.         9.34793967 9.5
 0.         0.         9.315776  ]"
"('O', 'O', 'X', 'X', 'X', 'O', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 5.]
"('O', ' ', 'X', ' ', ' ', 'X', 'O', ' ', ' ')","[ 0.         -7.62000114  0.          9.5         8.85103968  0.
  0.         -6.230526   10.        ]"
"('O', ' ', 'X', ' ', ' ', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', ' ', 'X', ' ', ' ', ' ', 'X')","[0.         0.         9.5        2.46223911 0.         6.37999962
 5.75599193 9.43382192 0.        ]"
"('O', 'O', 'X', 'O', 'X', ' ', ' ', ' ', 'X')","[ 0.         0.         0.         0.         0.        10.
 10.         5.7250096  0.       ]"
"('O', 'O', 'X', 'O', 'X', ' ', 'X', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', ' ', 'O', 'O', ' ', 'X', ' ')","[-6.28687531  4.87080594  0.          5.41470203  0.          0.
  1.63908483  0.         -6.10504511]"
"(' ', 'X', 'X', ' ', 'O', 'O', 'O', 'X', ' ')","[10.          0.          0.          9.31121804  0.          0.
  0.          0.          4.65469366]"
"('O', 'X', 'X', ' ', 'O', 'O', 'O', 'X', 'X')",[0. 0. 0. 5. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', 'X', 'X', ' ', 'O', 'O')","[ 9.47346205  8.87570589  8.85099208 10.          0.          0.
  9.5         0.          0.        ]"
"(' ', 'X', 'O', 'X', ' ', ' ', ' ', 'O', ' ')","[0.37994382 0.         0.         0.         5.50921393 6.20866244
 5.60526601 0.         8.90589079]"
"(' ', 'X', 'O', 'X', 'X', 'O', ' ', 'O', ' ')","[-6.22480832  0.          0.          0.          0.          0.
  2.27200633  0.          4.75126707]"
"('O', 'X', 'O', 'X', 'X', 'O', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 5. 0. 0.]
"('X', ' ', 'X', 'X', 'O', 'O', ' ', ' ', 'O')",[ 0.  10.   0.   0.   0.   0.  10.   9.5  0. ]
"('X', ' ', 'X', 'X', 'O', 'O', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'O', 'X', ' ', ' ', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', ' ', 'O', ' ', 'X', ' ', ' ')","[ 0.         -7.79193728  0.          2.98116033  0.          9.49880192
  0.          8.87100768  9.5       ]"
"('O', ' ', 'X', ' ', 'O', ' ', 'X', 'O', 'X')","[ 0.          5.6681306   0.          4.73036354  0.         10.
  0.          0.          0.        ]"
"('O', ' ', 'X', ' ', 'O', 'X', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', 'X', 'O', 'O', 'X')","[ 9.5         9.48416764 10.          9.5         9.5         0.
  0.          0.          0.        ]"
"(' ', ' ', ' ', 'X', 'O', 'X', 'O', 'O', 'X')","[-9.99999488  9.37417728 10.          0.          0.          0.
  0.          0.          0.        ]"
"(' ', ' ', 'X', 'X', 'O', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', ' ', ' ', 'X', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', 'X', 'X', 'X', ' ', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'X', ' ', 'X', 'O', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'X', 'X', 'O', ' ', 'O', 'O')","[-6.75020608  8.87595973  0.          0.          0.          0.
 10.          0.          0.        ]"
"(' ', ' ', 'X', 'X', 'X', 'O', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', ' ', 'O', ' ', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', 'X', ' ', 'O', 'X', 'O')","[ 8.70813099  0.          5.66229231  0.          0.         10.
  0.          0.          0.        ]"
"('O', ' ', ' ', 'O', ' ', ' ', ' ', 'X', 'X')","[ 0.         -9.2449616  -6.72404026  0.          9.47484031 -9.22100639
 10.          0.          0.        ]"
"('O', 'O', ' ', 'O', ' ', 'X', ' ', 'X', 'X')","[ 0.        0.       10.        0.       -9.999872  0.        9.9968
  0.        0.      ]"
"('X', 'X', ' ', 'O', ' ', 'X', 'O', 'O', ' ')","[ 0.          0.         10.          0.         -9.2352      0.
  0.          0.          9.49999996]"
"(' ', 'O', ' ', ' ', 'O', ' ', ' ', 'X', 'X')","[ 9.45045741  0.          9.5         9.47198652  0.          9.5
 10.          0.          0.        ]"
"(' ', 'O', 'X', ' ', 'O', ' ', 'O', 'X', 'X')","[ 5.54648002  0.          0.          5.66809175  0.         10.
  0.          0.          0.        ]"
"('X', 'X', 'O', ' ', 'O', ' ', ' ', ' ', ' ')","[ 0.          0.          0.         -6.85379238  0.         -7.09233989
  8.69556493  1.50080014 -7.89217175]"
"('X', 'X', 'O', 'X', 'O', ' ', ' ', 'O', ' ')","[ 0.          0.          0.          0.          0.         -9.37579072
 10.          0.          9.37399393]"
"('X', 'X', 'O', 'X', 'O', 'X', ' ', 'O', 'O')",[ 0.  0.  0.  0.  0.  0. 10.  0.  0.]
"(' ', ' ', 'X', ' ', 'O', 'X', ' ', ' ', 'O')","[ 8.70199796 -6.72424921  0.          2.82925321  0.          0.
 -6.78018553  4.61443052  0.        ]"
"(' ', 'O', 'X', ' ', 'O', 'X', ' ', 'X', 'O')","[ 4.75        0.          0.         -9.90547208  0.          0.
  4.745408    0.          0.        ]"
